hexsha,patch,summary,author
e2e0cacbd4b0,https://github.com/torvalds/linux/commit/e2e0cacbd4b0,Bluetooth: Fix leaking blacklist when unregistering a hci device,Johan Hedberg
a4d6e17d3ee0,https://github.com/torvalds/linux/commit/a4d6e17d3ee0,ath9k_hw: fix carrier leakage calibration for AR9271,Rajkumar Manoharan
1dcb202f42d0,https://github.com/torvalds/linux/commit/1dcb202f42d0,"drivers/message/, i2o: Remove unnecessary casts of void ptr returning alloc function return values",Jesper Juhl
288db8821608,https://github.com/torvalds/linux/commit/288db8821608,GPU DRM: Remove unnecessary casts of void ptr returning alloc function return values,Jesper Juhl
c959acfddb3d,https://github.com/torvalds/linux/commit/c959acfddb3d,[media] v4l2-ctrls: fix missing 'read-only' check,Hans Verkuil
fd01ad989450,https://github.com/torvalds/linux/commit/fd01ad989450,"[media] media, tlg2300: Fix memory leak in alloc_bulk_urbs_generic()",Jesper Juhl
be33b76a974c,https://github.com/torvalds/linux/commit/be33b76a974c,ACPICA: Fix memory leak in acpi_ev_asynch_execute_gpe_method().,Jesper Juhl
27eaa1c90c60,https://github.com/torvalds/linux/commit/27eaa1c90c60,aio: check return value of create_workqueue(),Namhyung Kim
5e540f7715b8,https://github.com/torvalds/linux/commit/5e540f7715b8,btrfs: Fix memory leak in btrfs_read_fs_root_no_radix(),Tsutomu Itoh
42838bb265b9,https://github.com/torvalds/linux/commit/42838bb265b9,btrfs: Mem leak in btrfs_get_acl(),Jesper Juhl
6bce7bf1a1f8,https://github.com/torvalds/linux/commit/6bce7bf1a1f8,mfd: ab8500-core improved error handling in get_chip_id,Mattias Wallin
657e94b673a8,https://github.com/torvalds/linux/commit/657e94b673a8,nfs: add missing rcu-walk check,Nick Piggin
32d6feadf4e1,https://github.com/torvalds/linux/commit/32d6feadf4e1,mm/hugetlb.c: fix error-path memory leak in nr_hugepages_store_common(),Jesper Juhl
c3f0da631539,https://github.com/torvalds/linux/commit/c3f0da631539,mm/page-writeback.c: fix __set_page_dirty_no_writeback() return value,Bob Liu
e7ee11f0ecd5,https://github.com/torvalds/linux/commit/e7ee11f0ecd5,Squashfs: add missing check in zlib_wrapper,Phillip Lougher
ccbd4d412dde,https://github.com/torvalds/linux/commit/ccbd4d412dde,rt2x00: Don't leak mem in error path of rt2x00lib_request_firmware(),Jesper Juhl
0193383a5833,https://github.com/torvalds/linux/commit/0193383a5833,memstick: core: fix device_register() error handling,Vasiliy Kulikov
19412ce9fcc9,https://github.com/torvalds/linux/commit/19412ce9fcc9,drivers/rtc/rtc-omap.c: fix a memory leak,Axel Lin
65329bf46bf9,https://github.com/torvalds/linux/commit/65329bf46bf9,fs/select.c: fix information leak to userspace,Vasiliy Kulikov
b8cb464e4a8a,https://github.com/torvalds/linux/commit/b8cb464e4a8a,ihex: fix unused return value compiler warning,Chris Ruffin
d93e34faf924,https://github.com/torvalds/linux/commit/d93e34faf924,pohmelfs: double-free and leak,Al Viro
923430cfee11,https://github.com/torvalds/linux/commit/923430cfee11,regulator: Assign return value of mc13xxx_reg_rmw to ret,Axel Lin
5054c0de664d,https://github.com/torvalds/linux/commit/5054c0de664d,KVM: MMU: fix missing post sync audit,Xiao Guangrong
