hexsha,patch,summary,author
236e23768182,https://github.com/qemu/qemu/commit/236e23768182,Add missing tracing to qemu_mallocz(),Jes Sorensen
85882c71a946,https://github.com/qemu/qemu/commit/85882c71a946,noaudio: fix return value for read(),Michael Walle
0562c6743299,https://github.com/qemu/qemu/commit/0562c6743299,virtio-9p: Check the return value of llistxattr.,Kusanagi Kouichi
0f53994f7ad4,https://github.com/qemu/qemu/commit/0f53994f7ad4,Fix memory leak in register save load due to xsave support,Marcelo Tosatti
6b37c87c96a5,https://github.com/qemu/qemu/commit/6b37c87c96a5,vhost: fix infinite loop on error path,Michael S. Tsirkin
e301b13d6a72,https://github.com/qemu/qemu/commit/e301b13d6a72,Respect return value from nbd_client(),Jes Sorensen
f143efa60c44,https://github.com/qemu/qemu/commit/f143efa60c44,Remove useless NULL check for qemu_strdup return value,Blue Swirl
69e58af92cf9,https://github.com/qemu/qemu/commit/69e58af92cf9,savevm: Fix memory leak of compat struct,Alex Williamson
d01f95954007,https://github.com/qemu/qemu/commit/d01f95954007,vnc: add missing lock for vnc_cursor_define(),Corentin Chary
b5469b1104a4,https://github.com/qemu/qemu/commit/b5469b1104a4,vnc: fix tight png memory leak,Corentin Chary
d9c18c24b9c8,https://github.com/qemu/qemu/commit/d9c18c24b9c8,vnc: tight: remove a memleak in send_jpeg_rect(),Corentin Chary
b02bea3a85cc,https://github.com/qemu/qemu/commit/b02bea3a85cc,block migration: propagate return value when bdrv_write() returns < 0,Yoshiaki Tamura
a213ff63ead4,https://github.com/qemu/qemu/commit/a213ff63ead4,pci hotplug: make pci hotplug return value to caller,Isaku Yamahata
19dbcbf7cc18,https://github.com/qemu/qemu/commit/19dbcbf7cc18,qcow2: Fix error handling during metadata preallocation,Kevin Wolf
4972d592113c,https://github.com/qemu/qemu/commit/4972d592113c,win32: Add missing function ffs,Stefan Weil
e163ae7b8f80,https://github.com/qemu/qemu/commit/e163ae7b8f80,qbus: fix memory leak in qbus_free(),Isaku Yamahata
1a396859105c,https://github.com/qemu/qemu/commit/1a396859105c,block: Add missing bdrv_delete() for SG_IO BlockDriver in find_image_format(),Nicholas A. Bellinger
4cbd40cec0e5,https://github.com/qemu/qemu/commit/4cbd40cec0e5,darwin-user: Add missing static attribute,Stefan Weil
d510c5cf343e,https://github.com/qemu/qemu/commit/d510c5cf343e,Fix tiny leak in qemu_opts_parse,Jan Kiszka
ace22f691784,https://github.com/qemu/qemu/commit/ace22f691784,"Fix missing '|' in '|=', spotted by clang analyzer",Blue Swirl
9fad3eb7fa27,https://github.com/qemu/qemu/commit/9fad3eb7fa27,"ppc: add missing 'break', spotted by clang analyzer",Blue Swirl
b2c58871c9fd,https://github.com/qemu/qemu/commit/b2c58871c9fd,"alpha: add missing 'break', spotted by clang analyzer",Blue Swirl
655feed5d988,https://github.com/qemu/qemu/commit/655feed5d988,tcg: Add missing static qualifier,malc
7eb58a6c556c,https://github.com/qemu/qemu/commit/7eb58a6c556c,block: Fix multiwrite memory leak in error case,Kevin Wolf
cb6d3ca07b8f,https://github.com/qemu/qemu/commit/cb6d3ca07b8f,block: Fix multiwrite error handling,Kevin Wolf
d99688270320,https://github.com/qemu/qemu/commit/d99688270320,target-arm: resource leak fixes for iwmmxt disassemble,Lars Munch
06b611c48edb,https://github.com/qemu/qemu/commit/06b611c48edb,qemu-io: Fix return value handling of bdrv_open,Ryota Ozaki
a16c174c51e7,https://github.com/qemu/qemu/commit/a16c174c51e7,qemu-nbd: Fix return value handling of bdrv_open,Ryota Ozaki
57e69b7d4e27,https://github.com/qemu/qemu/commit/57e69b7d4e27,raw-posix: Better error return values for hdev_create,Kevin Wolf
4d067ed7a778,https://github.com/qemu/qemu/commit/4d067ed7a778,x86/cpuid: fix missing feature set bits,Andre Przywara
a990f58feda5,https://github.com/qemu/qemu/commit/a990f58feda5,target-arm: Fix missing 'return' in SRS handling.,Adam Lackorzynski
0908bba1577d,https://github.com/qemu/qemu/commit/0908bba1577d,eepro100: Add missing SCB register names,Stefan Weil
47116d1c90cd,https://github.com/qemu/qemu/commit/47116d1c90cd,QMP: Don't leak on connection close,Luiz Capitulino
4a2594ddd35d,https://github.com/qemu/qemu/commit/4a2594ddd35d,qemu-option: Make qemu_opts_foreach() accumulate return values,Markus Armbruster
acdc3f0c59d0,https://github.com/qemu/qemu/commit/acdc3f0c59d0,check pipe() return value,Juan Quintela
f2b7c8b37045,https://github.com/qemu/qemu/commit/f2b7c8b37045,qcow2: Fix error handling in grow_refcount_table,Kevin Wolf
1d36e3aae338,https://github.com/qemu/qemu/commit/1d36e3aae338,qcow2: Fix error handling in qcow_save_vmstate,Kevin Wolf
fb8fa77ce143,https://github.com/qemu/qemu/commit/fb8fa77ce143,qcow2: Fix error handling in qcow2_grow_l1_table,Kevin Wolf
40a0d7c395f4,https://github.com/qemu/qemu/commit/40a0d7c395f4,qemu-io: Fix memory leak,Kevin Wolf
be5e8349862d,https://github.com/qemu/qemu/commit/be5e8349862d,microblaze: Add missing cpu_reset.,Edgar E. Iglesias
7078dead94a2,https://github.com/qemu/qemu/commit/7078dead94a2,qemu-img: Fix memory leak,Kevin Wolf
8595387e3e08,https://github.com/qemu/qemu/commit/8595387e3e08,vmstate: fix missing ARRAY_OF_POINTERS support on save state,Juan Quintela
e92734555f50,https://github.com/qemu/qemu/commit/e92734555f50,Add missing break.,Paul Brook
718b8aec624f,https://github.com/qemu/qemu/commit/718b8aec624f,serial: Add missing bit,Stefan Weil
c5baaa489f55,https://github.com/qemu/qemu/commit/c5baaa489f55,qcow2: Fix grow_refcount_table error handling,Kevin Wolf
7dc3fa0913dc,https://github.com/qemu/qemu/commit/7dc3fa0913dc,Add missing linefeed in error message,Stefan Weil
34d5e948e8a0,https://github.com/qemu/qemu/commit/34d5e948e8a0,cpu_unregister_map_client: fix memory leak.,Isaku Yamahata
94c6d6d815c0,https://github.com/qemu/qemu/commit/94c6d6d815c0,fix raw_pread_aligned return value,Christoph Hellwig
838ab728bfd2,https://github.com/qemu/qemu/commit/838ab728bfd2,qemu-io: Fix handling of bdrv_is_allocated() return value (Kevin Wolf),aliguori
8707eccac83b,https://github.com/qemu/qemu/commit/8707eccac83b,pci_add storage: fix error handling for 'if' parameter (Eduardo Habkost),aliguori
f8de16605cf9,https://github.com/qemu/qemu/commit/f8de16605cf9,Fix (at least one cause of) qcow2 corruption. (Nolan Leake),aliguori
bbeea539aa7b,https://github.com/qemu/qemu/commit/bbeea539aa7b,Fix wrong return value,blueswir1
40a4539e2041,https://github.com/qemu/qemu/commit/40a4539e2041,qemu-img: Fix type of getopt return value (Kevin Wolf),aliguori
f4a5a5ba926e,https://github.com/qemu/qemu/commit/f4a5a5ba926e,"Add missing ""static""",blueswir1
371bc573e53e,https://github.com/qemu/qemu/commit/371bc573e53e,Add missing static qualifier,malc
265ca29a7162,https://github.com/qemu/qemu/commit/265ca29a7162,uImage: don't leak file data or file descriptor (Hollis Blanchard),aliguori
6223246ad9d6,https://github.com/qemu/qemu/commit/6223246ad9d6,target-alpha: fix the return value of stl_c/stq_c,aurel32
44696296d5c2,https://github.com/qemu/qemu/commit/44696296d5c2,CRIS: Plug more temp leaks.,edgar_igl
00b229ac6ad1,https://github.com/qemu/qemu/commit/00b229ac6ad1,Add missing return statement (fixes compiler warning).,aurel32
674a24acf77b,https://github.com/qemu/qemu/commit/674a24acf77b,Fix warning about missing return value,blueswir1
012a70458f7e,https://github.com/qemu/qemu/commit/012a70458f7e,Add missing parenthesis in qemu_ram_alloc(),ths
547012f495f5,https://github.com/qemu/qemu/commit/547012f495f5,pflash: Add missing parenthesis in error message.,ths
6f9e38017c6a,https://github.com/qemu/qemu/commit/6f9e38017c6a,"Add missing ""static""",blueswir1
d94888e35b06,https://github.com/qemu/qemu/commit/d94888e35b06,Add missing return,malc
a982b5310de5,https://github.com/qemu/qemu/commit/a982b5310de5,"Add missing return in arm-semi, by Laurent Desnogues.",ths
d50997f9144e,https://github.com/qemu/qemu/commit/d50997f9144e,Add missing [SU]32,malc
477afee37ca2,https://github.com/qemu/qemu/commit/477afee37ca2,Add missing initial values for PIIX3 function 0 (PIRQRC),aurel32
fca743f30752,https://github.com/qemu/qemu/commit/fca743f30752,"SH4 Fix missing 6th arg of syscall, by ""takasi-y"".",ths
46ea33974d96,https://github.com/qemu/qemu/commit/46ea33974d96,"Fix set_error return value, by Pierre d'Herbemont.",ths
04d4b0c33f92,https://github.com/qemu/qemu/commit/04d4b0c33f92,Simplify error handling again.,ths
6b21b973ab9a,https://github.com/qemu/qemu/commit/6b21b973ab9a,fixed error handling,bellard
243a273ee016,https://github.com/qemu/qemu/commit/243a273ee016,fd leak fix (Igor Kovalenko),bellard
3aee288bc8e1,https://github.com/qemu/qemu/commit/3aee288bc8e1,fixed memory leak,bellard
d80cfb3f705e,https://github.com/qemu/qemu/commit/d80cfb3f705e,Add missing break statement.,pbrook
e10c2bfb73d7,https://github.com/qemu/qemu/commit/e10c2bfb73d7,Add missing return statement.,pbrook
c9a621176e47,https://github.com/qemu/qemu/commit/c9a621176e47,memory leak fix (Juergen Keil),bellard
