hexsha,patch,summary,author
2faa15274d7b,https://github.com/git/git/commit/2faa15274d7b,transport-helper: fix minor leak in push_refs_with_export,Jeff King
daab4eeafa0d,https://github.com/git/git/commit/daab4eeafa0d,builtin/gc.c: add missing newline in message,Andreas Schwab
d8ead1596389,https://github.com/git/git/commit/d8ead1596389,fetch: do not leak a refspec,Jim Meyering
a9930e359c45,https://github.com/git/git/commit/a9930e359c45,plug a DIR buffer leak in rerere.c,Jim Meyering
2d9932cf67a8,https://github.com/git/git/commit/2d9932cf67a8,shell: add missing initialization of argv0_path,Dima Sharov
8cc299daf29c,https://github.com/git/git/commit/8cc299daf29c,vcs-svn: add missing cast to printf argument,Jonathan Nieder
41e6b91f01bc,https://github.com/git/git/commit/41e6b91f01bc,vcs-svn: add missing cast to printf argument,Jonathan Nieder
b3c0494aa9b3,https://github.com/git/git/commit/b3c0494aa9b3,checkout: add missing const to describe_detached_head,Jonathan Nieder
b822423ed20d,https://github.com/git/git/commit/b822423ed20d,"wt-status.c: don't leak directory entries when processing untracked,ignored",Brandon Casey
e92fa514a9ad,https://github.com/git/git/commit/e92fa514a9ad,cache_tree_free: Fix small memory leak,Elijah Newren
4a5e74feb1a7,https://github.com/git/git/commit/4a5e74feb1a7,tree_entry_interesting(): Make return value more specific,Elijah Newren
b6b56aceb85f,https://github.com/git/git/commit/b6b56aceb85f,write-tree: Avoid leak when index refers to an invalid object,Jonathan Nieder
1ce584b05843,https://github.com/git/git/commit/1ce584b05843,read-tree: stop leaking tree objects,Jonathan Nieder
59efba64ac14,https://github.com/git/git/commit/59efba64ac14,core: Stop leaking ondisk_cache_entrys,Jonathan Nieder
4e1f87959c76,https://github.com/git/git/commit/4e1f87959c76,test get_git_work_tree() return value for NULL,Clemens Buchacher
f5b26b1d14d3,https://github.com/git/git/commit/f5b26b1d14d3,wt-status: plug memory leak while collecting untracked files,Junio C Hamano
b76c056b95cc,https://github.com/git/git/commit/b76c056b95cc,fix textconv leak in emit_rewrite_diff,Jeff King
730b02003070,https://github.com/git/git/commit/730b02003070,fetch: Fix minor memory leak,Andreas Gruenbacher
1f80c2afb0d8,https://github.com/git/git/commit/1f80c2afb0d8,Fix gitmkdtemp: correct test for mktemp() return value,Filippo Negroni
689b8c290db9,https://github.com/git/git/commit/689b8c290db9,rerere: fix memory leak if rerere images can't be read,Bert Wesarg
ef0065034a68,https://github.com/git/git/commit/ef0065034a68,fix minor memory leak in get_tree_entry(),René Scharfe
de7a79608c94,https://github.com/git/git/commit/de7a79608c94,Fix memory leak in submodule.c,Jens Lehmann
bfac23d9534e,https://github.com/git/git/commit/bfac23d9534e,grep: Fix two memory leaks,Dan McGee
70d7099916c9,https://github.com/git/git/commit/70d7099916c9,textconv: stop leaking file descriptors,Jeff King
b962dbdc8065,https://github.com/git/git/commit/b962dbdc8065,Fix various memory leaks in transport-helper.c,Sverre Rabbelier
f2a37151d462,https://github.com/git/git/commit/f2a37151d462,Fix memory leak in helper method for disconnect,Daniel Barkalow
f01d74960363,https://github.com/git/git/commit/f01d74960363,http-fetch: add missing initialization of argv0_path,Jonathan Nieder
c6dfb399448f,https://github.com/git/git/commit/c6dfb399448f,remote-curl: add missing initialization of argv0_path,Johannes Sixt
0c4f21e452dc,https://github.com/git/git/commit/0c4f21e452dc,Check return value of ftruncate call in http.c,Jeff Lasslett
96d69b554325,https://github.com/git/git/commit/96d69b554325,Fix export_marks() error handling.,Matthias Andree
b99d5f40d6a5,https://github.com/git/git/commit/b99d5f40d6a5,run_command: encode deadly signal number in the return value,Johannes Sixt
d4c985653a58,https://github.com/git/git/commit/d4c985653a58,attr: plug minor memory leak,René Scharfe
345a38039414,https://github.com/git/git/commit/345a38039414,git-remote: fix missing .uploadpack usage for show command,Chris Frey
802f9c9cb213,https://github.com/git/git/commit/802f9c9cb213,diff.c: plug a memory leak in an error path,Johannes Sixt
df005219dd4a,https://github.com/git/git/commit/df005219dd4a,transport.c::get_refs_via_curl(): do not leak refs_url,Mike Hommey
68862a315269,https://github.com/git/git/commit/68862a315269,"http-push: fix missing ""#ifdef USE_CURL_MULTI"" around ""is_running_queue""",Tay Ray Chuan
e02f1762b257,https://github.com/git/git/commit/e02f1762b257,builtin-remote: make rm() use properly named variable to hold return value,Jay Soffian
39765e5941d3,https://github.com/git/git/commit/39765e5941d3,interpret_nth_last_branch(): plug small memleak,Junio C Hamano
f755bb996ba0,https://github.com/git/git/commit/f755bb996ba0,Fix handle leak in sha1_file/unpack_objects if there were damaged object data,Alex Riesen
83b767360a18,https://github.com/git/git/commit/83b767360a18,builtin-remote.c: plug a small memory leak in get_one_remote_for_updates(),Junio C Hamano
59dd9ed18398,https://github.com/git/git/commit/59dd9ed18398,pack-objects: don't leak pack window reference when splitting packs,Nicolas Pitre
72cf48414071,https://github.com/git/git/commit/72cf48414071,diff: add missing static declaration,Jeff King
9ed19614d4af,https://github.com/git/git/commit/9ed19614d4af,index-pack: don't leak leaf delta result,Nicolas Pitre
1fb23e65503b,https://github.com/git/git/commit/1fb23e65503b,force_object_loose: Fix memory leak,Björn Steinbrink
ffa9fd957039,https://github.com/git/git/commit/ffa9fd957039,Fix commit_tree() buffer leak,Stephan Beyer
5d2299de2d9f,https://github.com/git/git/commit/5d2299de2d9f,builtin-merge: add missing structure initialization,Pierre Habouzit
eac12e2d4d7f,https://github.com/git/git/commit/eac12e2d4d7f,Correct pack memory leak causing git gc to try to exceed ulimit,Shawn O. Pearce
5b8a94b1db4b,https://github.com/git/git/commit/5b8a94b1db4b,git cat-file: Fix memory leak in batch mode,Björn Steinbrink
1a8fb155cff5,https://github.com/git/git/commit/1a8fb155cff5,builtin-rerere: fix a small leak,Junio C Hamano
1caeacc1f297,https://github.com/git/git/commit/1caeacc1f297,unpack_trees(): minor memory leak fix in unused destination index,Linus Torvalds
283cdbcf4940,https://github.com/git/git/commit/283cdbcf4940,get_sha1_oneline: check return value of parse_object,Martin Koegler
e8b32e061006,https://github.com/git/git/commit/e8b32e061006,fast-import: check return value from unpack_entry(),Shawn O. Pearce
9116de595742,https://github.com/git/git/commit/9116de595742,http-push: fix webdav lock leak.,Grégoire Barbier
68e6a4f80d4b,https://github.com/git/git/commit/68e6a4f80d4b,Plug a resource leak in threaded pack-objects code.,Johannes Sixt
6ba78238a824,https://github.com/git/git/commit/6ba78238a824,Fix a memory leak,李鸿
295dd2ad201c,https://github.com/git/git/commit/295dd2ad201c,Fix memory leak in traverse_commit_list,Shawn O. Pearce
1e8a1954519a,https://github.com/git/git/commit/1e8a1954519a,Add missing inside_work_tree setting in setup_git_directory_gently,Nguyễn Thái Ngọc Duy
399f0a8eedee,https://github.com/git/git/commit/399f0a8eedee,Fix a small memory leak in builtin-add,Benoit Sigoure
c85228ed8f31,https://github.com/git/git/commit/c85228ed8f31,fix for more minor memory leaks,Nicolas Pitre
18184f79dbf7,https://github.com/git/git/commit/18184f79dbf7,Fix 'push --all branch...' error handling,Shawn O. Pearce
ca0328354afb,https://github.com/git/git/commit/ca0328354afb,builtin-apply.c: fix a tiny leak introduced during xmemdupz() conversion.,Junio C Hamano
20fbfd869fe8,https://github.com/git/git/commit/20fbfd869fe8,archive - leakfix for format_subst(),Junio C Hamano
2e3404c3245e,https://github.com/git/git/commit/2e3404c3245e,pack-objects: check return value from read_sha1_file(),Junio C Hamano
cbbb218f8bd2,https://github.com/git/git/commit/cbbb218f8bd2,"Fix filehandle leak in ""git branch -D""",Alex Riesen
86d14e1b1d10,https://github.com/git/git/commit/86d14e1b1d10,decode_85(): fix missing return.,Jerald Fitzjerald
0b1f113075aa,https://github.com/git/git/commit/0b1f113075aa,fix memory leak in parse_object when check_sha1_signature fails,Carlos Rica
2924415f4fb0,https://github.com/git/git/commit/2924415f4fb0,Fix signedness on return value from xread(),Johan Herland
c21aa54e190e,https://github.com/git/git/commit/c21aa54e190e,Fix handle leak in write_tree,Alex Riesen
bbf4b41baff1,https://github.com/git/git/commit/bbf4b41baff1,Plug memory leak in index-pack collision checking codepath.,Nicolas Pitre
ac54c277f05c,https://github.com/git/git/commit/ac54c277f05c,Be more careful about zlib return values,Linus Torvalds
6c912f5b04e3,https://github.com/git/git/commit/6c912f5b04e3,"Fix botched ""leak fix""",Junio C Hamano
20276889d661,https://github.com/git/git/commit/20276889d661,git-daemon: Avoid leaking the listening sockets into child processes.,Alexandre Julliard
2266bf27b354,https://github.com/git/git/commit/2266bf27b354,for_each_reflog_ent: do not leak FILE *,Junio C Hamano
2cdf9509df66,https://github.com/git/git/commit/2cdf9509df66,write-cache: do not leak the serialized cache-tree data.,Linus Torvalds
1295228d1fdd,https://github.com/git/git/commit/1295228d1fdd,merge-base: do not leak commit list,Junio C Hamano
e90068a9046c,https://github.com/git/git/commit/e90068a9046c,i18n: do not leak 'encoding' header even when we cheat the conversion.,Junio C Hamano
5fe5c8300da6,https://github.com/git/git/commit/5fe5c8300da6,Cleanup read_cache_from error handling.,Shawn O. Pearce
53a7085a1049,https://github.com/git/git/commit/53a7085a1049,xmerge: make return value from xdl_merge() more usable.,Junio C Hamano
d64d6c9fc712,https://github.com/git/git/commit/d64d6c9fc712,get_shallow_commits: Avoid memory leak if a commit has been reached already.,Alexandre Julliard
057bc808b4aa,https://github.com/git/git/commit/057bc808b4aa,path-list: fix path-list-insert return value,Junio C Hamano
9edd7e4652e0,https://github.com/git/git/commit/9edd7e4652e0,receive-pack: plug memory leak in fast-forward checking code.,Johannes Schindelin
0caea90be0e5,https://github.com/git/git/commit/0caea90be0e5,Fix memory leak in prepend_to_path (git.c).,Christian Couder
7e18e56920bd,https://github.com/git/git/commit/7e18e56920bd,git-tar-tree: fix minor memory leak,Rene Scharfe
91b452cba9ff,https://github.com/git/git/commit/91b452cba9ff,"Fix memory leak in ""git rev-list --objects""",Linus Torvalds
7561d9f54412,https://github.com/git/git/commit/7561d9f54412,commit-tree: check return value from write_sha1_file(),Junio C Hamano
09a5d72d8e83,https://github.com/git/git/commit/09a5d72d8e83,diffcore-rename: plug memory leak.,Junio C Hamano
e974c9ab03c3,https://github.com/git/git/commit/e974c9ab03c3,Use symbolic name SHORT_NAME_AMBIGUOUS as error return value,Uwe Zeisberger
d28c8af623b0,https://github.com/git/git/commit/d28c8af623b0,diffcore-break.c: check diff_delta() return value.,Junio C Hamano
54a9ba0d44c3,https://github.com/git/git/commit/54a9ba0d44c3,Fix fd leak in http-fetch,Nick Hengeveld
e6c64fc1e9b3,https://github.com/git/git/commit/e6c64fc1e9b3,copy.c::copy_fd() - do not leak file descriptor on error return.,Junio C Hamano
8be707de55e4,https://github.com/git/git/commit/8be707de55e4,[PATCH] git-local-fetch: Fix error checking and leak in setup_indices(),Sergey Vlasov
d35bbe0b2e37,https://github.com/git/git/commit/d35bbe0b2e37,[PATCH] fetch.c: Plug memory leak in process_tree(),Sergey Vlasov
bb97a2a804e0,https://github.com/git/git/commit/bb97a2a804e0,Plug leak in Daniel's read-tree.,Junio C Hamano
90a734dc7f37,https://github.com/git/git/commit/90a734dc7f37,[PATCH] possible memory leak in diff.c::diff_free_filepair(),Yasushi SHOJI
adee7bdf5041,https://github.com/git/git/commit/adee7bdf5041,[PATCH] Plug memory leak in git-pack-objects,Sergey Vlasov
7bf058f0082d,https://github.com/git/git/commit/7bf058f0082d,[PATCH] Plug memory leak in sha1close(),Sergey Vlasov
1cf58e72225f,https://github.com/git/git/commit/1cf58e72225f,[PATCH] Plug memory leak in read_object_with_reference(),Sergey Vlasov
ee639140c9d3,https://github.com/git/git/commit/ee639140c9d3,[PATCH] Plug memory leaks in git-unpack-objects,Sergey Vlasov
5b35bcd53a1c,https://github.com/git/git/commit/5b35bcd53a1c,[PATCH] sha1_file.c;prepare_packed_git_one() - fix DIR leak,Junio C Hamano
2700628e6493,https://github.com/git/git/commit/2700628e6493,csum-file: fix missing buf pointer update,Linus Torvalds
84fb9a4dca7e,https://github.com/git/git/commit/84fb9a4dca7e,git-apply: fix error handling for nonexistent files,Linus Torvalds
14242464811b,https://github.com/git/git/commit/14242464811b,Fixed a leak in read-tree,Petr Baudis
aceedfe32e76,https://github.com/git/git/commit/aceedfe32e76,[patch] git: fix memory leak #2 in checkout-cache.c,Ingo Molnar
1c9da46da4fe,https://github.com/git/git/commit/1c9da46da4fe,[PATCH] read_tree_recursive(): Fix leaks,Jonas Fonseca
fa9e9c7bc4d6,https://github.com/git/git/commit/fa9e9c7bc4d6,Fix missing '\n' at end of git-cat-file -t output.,Linus Torvalds
7223a88ce779,https://github.com/git/git/commit/7223a88ce779,[PATCH] fix for memory leak in write-tree.c,Brad Roberts
